z_round,dcm_mpc,dcm_transverse_mpc
0.6543,2371.12987265,2371.12987265
0.6544,2371.42838738,2371.42838738
0.6545,2371.72688425,2371.72688425
0.6546,2372.02536327,2372.02536327
0.6547,2372.32382442,2372.32382442
0.6548,2372.62226772,2372.62226772
0.6549,2372.92069316,2372.92069316
0.655,2373.21910074,2373.21910074
0.6551,2373.51749047,2373.51749047
0.6552,2373.81586234,2373.81586234
0.6553,2374.11421637,2374.11421637
0.6554,2374.41255254,2374.41255254
0.6555,2374.71087086,2374.71087086
0.6556,2375.00917133,2375.00917133
0.6557,2375.30745395,2375.30745395
0.6558,2375.60571872,2375.60571872
0.6559,2375.90396565,2375.90396565
0.656,2376.20219474,2376.20219474
0.6561,2376.50040597,2376.50040597
0.6562,2376.79859937,2376.79859937
0.6563,2377.09677492,2377.09677492
0.6564,2377.39493264,2377.39493264
0.6565,2377.69307251,2377.69307251
0.6566,2377.99119454,2377.99119454
0.6567,2378.28929874,2378.28929874
0.6568,2378.58738509,2378.58738509
0.6569,2378.88545362,2378.88545362
0.657,2379.1835043,2379.1835043
0.6571,2379.48153716,2379.48153716
0.6572,2379.77955218,2379.77955218
0.6573,2380.07754937,2380.07754937
0.6574,2380.37552873,2380.37552873
0.6575,2380.67349026,2380.67349026
0.6576,2380.97143396,2380.97143396
0.6577,2381.26935983,2381.26935983
0.6578,2381.56726788,2381.56726788
0.6579,2381.8651581,2381.8651581
0.658,2382.16303049,2382.16303049
0.6581,2382.46088507,2382.46088507
0.6582,2382.75872182,2382.75872182
0.6583,2383.05654075,2383.05654075
0.6584,2383.35434186,2383.35434186
0.6585,2383.65212515,2383.65212515
0.6586,2383.94989062,2383.94989062
0.6587,2384.24763828,2384.24763828
0.6588,2384.54536812,2384.54536812
0.6589,2384.84308014,2384.84308014
0.659,2385.14077435,2385.14077435
0.6591,2385.43845075,2385.43845075
0.6592,2385.73610934,2385.73610934
0.6593,2386.03375011,2386.03375011
0.6594,2386.33137308,2386.33137308
0.6595,2386.62897824,2386.62897824
0.6596,2386.92656559,2386.92656559
0.6597,2387.22413513,2387.22413513
0.6598,2387.52168687,2387.52168687
0.6599,2387.8192208,2387.8192208
0.66,2388.11673693,2388.11673693
0.6601,2388.41423526,2388.41423526
0.6602,2388.71171579,2388.71171579
0.6603,2389.00917852,2389.00917852
0.6604,2389.30662344,2389.30662344
0.6605,2389.60405057,2389.60405057
0.6606,2389.90145991,2389.90145991
0.6607,2390.19885144,2390.19885144
0.6608,2390.49622518,2390.49622518
0.6609,2390.79358113,2390.79358113
0.661,2391.09091929,2391.09091929
0.6611,2391.38823965,2391.38823965
0.6612,2391.68554222,2391.68554222
0.6613,2391.982827,2391.982827
0.6614,2392.280094,2392.280094
0.6615,2392.5773432,2392.5773432
0.6616,2392.87457462,2392.87457462
0.6617,2393.17178826,2393.17178826
0.6618,2393.46898411,2393.46898411
0.6619,2393.76616217,2393.76616217
0.662,2394.06332246,2394.06332246
0.6621,2394.36046496,2394.36046496
0.6622,2394.65758968,2394.65758968
0.6623,2394.95469663,2394.95469663
0.6624,2395.25178579,2395.25178579
0.6625,2395.54885718,2395.54885718
0.6626,2395.84591079,2395.84591079
0.6627,2396.14294663,2396.14294663
0.6628,2396.4399647,2396.4399647
0.6629,2396.73696499,2396.73696499
0.663,2397.03394751,2397.03394751
0.6631,2397.33091225,2397.33091225
0.6632,2397.62785923,2397.62785923
0.6633,2397.92478844,2397.92478844
0.6634,2398.22169989,2398.22169989
0.6635,2398.51859356,2398.51859356
0.6636,2398.81546947,2398.81546947
0.6637,2399.11232762,2399.11232762
0.6638,2399.409168,2399.409168
0.6639,2399.70599062,2399.70599062
0.664,2400.00279548,2400.00279548
0.6641,2400.29958258,2400.29958258
0.6642,2400.59635192,2400.59635192
0.6643,2400.8931035,2400.8931035
0.6644,2401.18983733,2401.18983733
0.6645,2401.48655339,2401.48655339
0.6646,2401.78325171,2401.78325171
0.6647,2402.07993227,2402.07993227
0.6648,2402.37659507,2402.37659507
0.6649,2402.67324013,2402.67324013
0.665,2402.96986743,2402.96986743
0.6651,2403.26647699,2403.26647699
0.6652,2403.5630688,2403.5630688
0.6653,2403.85964285,2403.85964285
0.6654,2404.15619917,2404.15619917
0.6655,2404.45273773,2404.45273773
0.6656,2404.74925856,2404.74925856
0.6657,2405.04576163,2405.04576163
0.6658,2405.34224697,2405.34224697
0.6659,2405.63871457,2405.63871457
0.666,2405.93516442,2405.93516442
0.6661,2406.23159654,2406.23159654
0.6662,2406.52801092,2406.52801092
0.6663,2406.82440756,2406.82440756
0.6664,2407.12078646,2407.12078646
0.6665,2407.41714763,2407.41714763
0.6666,2407.71349107,2407.71349107
0.6667,2408.00981677,2408.00981677
0.6668,2408.30612475,2408.30612475
0.6669,2408.60241499,2408.60241499
0.667,2408.8986875,2408.8986875
0.6671,2409.19494228,2409.19494228
0.6672,2409.49117934,2409.49117934
0.6673,2409.78739867,2409.78739867
0.6674,2410.08360027,2410.08360027
0.6675,2410.37978415,2410.37978415
0.6676,2410.67595031,2410.67595031
0.6677,2410.97209874,2410.97209874
0.6678,2411.26822945,2411.26822945
0.6679,2411.56434245,2411.56434245
0.668,2411.86043772,2411.86043772
0.6681,2412.15651527,2412.15651527
0.6682,2412.45257511,2412.45257511
0.6683,2412.74861724,2412.74861724
0.6684,2413.04464164,2413.04464164
0.6685,2413.34064834,2413.34064834
0.6686,2413.63663732,2413.63663732
0.6687,2413.93260859,2413.93260859
0.6688,2414.22856215,2414.22856215
0.6689,2414.524498,2414.524498
0.669,2414.82041614,2414.82041614
0.6691,2415.11631657,2415.11631657
0.6692,2415.4121993,2415.4121993
0.6693,2415.70806432,2415.70806432
0.6694,2416.00391164,2416.00391164
0.6695,2416.29974125,2416.29974125
0.6696,2416.59555317,2416.59555317
0.6697,2416.89134738,2416.89134738
